MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> 
flag =

     1

>> >> >> >> 
tol =

     1.000000000000000e-08

>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> 
>> start RS SVD vs CHEB ID comparison 3D:>> 
>> da = 0.25,db = 0.25
>> >> size  RS_rank    sdCH_rank  RSapp_time     sdChapp_time   error_RS       error_sdCh     dir_time       RSfac_time     sdChfac_time   
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> 
  21    343       729       1.550920E+00   2.426076E+00   5.588112E-09   1.404225E-08   3.427012E+02   1.711814E-01   2.556703E-01

  23    512       1000      2.407532E+00   3.953811E+00   9.352535E-10   2.264816E-08   7.598626E+01   2.507339E-01   4.394255E-01

  26    512       1000      3.257357E+00   5.030151E+00   2.966534E-09   3.062775E-08   1.019595E+02   3.681868E-01   5.886128E-01

  29    512       1000      4.619387E+00   7.342392E+00   7.004500E-09   3.728062E-08   1.619078E+02   4.799129E-01   8.623941E-01

  32    512       1000      5.350882E+00   8.349761E+00   1.090453E-08   2.968010E-08   2.626224E+02   6.641456E-01   1.110231E+00

  36    729       1331      9.714213E+00   1.515960E+01   6.869843E-10   3.893797E-09   4.467561E+02   1.232452E+00   1.815764E+00

  39    729       1331      1.202904E+01   1.867145E+01   5.082698E-09   4.758066E-09   6.183054E+02   1.329222E+00   2.173342E+00

  44    729       1331      1.595935E+01   2.570371E+01   6.549813E-09   1.738037E-08   1.015831E+03   1.861334E+00   3.083291E+00

  49    729       1728      2.183682E+01   4.388097E+01   4.772435E-08   5.156676E-09   1.924864E+03   2.613279E+00   5.505355E+00

  54    1000      1728      3.768862E+01   5.765285E+01   4.839783E-09   8.613930E-09   2.842485E+03   4.457754E+00   7.124858E+00

  60    1000      1728      4.884835E+01   7.576916E+01   1.614419E-09   2.708964E-09   4.371547E+03   6.002213E+00   9.638242E+00

  66    1000      1331      6.447894E+01   8.152042E+01   4.792343E-09   2.788820E-08   7.120349E+03   7.920139E+00   1.015677E+01

  74    1000      1728      1.360023E+02   2.252565E+02   7.029586E-09   4.291794E-09   1.165869E+04   1.110481E+01   1.769790E+01

  82    1000      1728      1.810191E+02   3.031732E+02   3.254969E-08   1.790183E-09   1.765897E+04   1.484428E+01   2.390128E+01

  91    1331      1728      2.144494E+02   2.738957E+02   1.980432E-09   6.811948E-09   3.178099E+04   2.581895E+01   3.248802E+01

  100   1331      1728      2.851200E+02   3.566357E+02   1.395700E-09   1.120808E-08   4.866376E+04   3.399555E+01   4.274417E+01
